score,osd_id,organism,project_type,material,factors,n_samples,n_groups,n_contrasts,groups,assay,title,dge_url
2,OSD-247,Mus musculus,Spaceflight Study,descending colon,Spaceflight     Duration     Dissection Condition     Euthanasia Location,54,6,15,Basal Control & 1 day & On Earth & Carcass | Basal Control & 1 day & On Earth & Upon euthanasia | Ground Control & ~30 day & On Earth & Upon euthanasia | Ground Control & ~60 day & On Earth & Carcass | Space Flight & ~30 day & On Earth & Upon euthanasia | Space Flight & ~60 day & On ISS & Carcass,RNA Sequencing (RNA-Seq),Transcriptional analysis of colon from mice flown on the RR-6 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-247/download?source=datamanager&file=GLDS-247_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-248,Mus musculus,Spaceflight Study,Left Lung,Spaceflight     Duration     Dissection Condition     Euthanasia Location,58,6,15,Basal Control & 1 day & On Earth & Carcass | Basal Control & 1 day & On Earth & Upon euthanasia | Ground Control & ~30 day & On Earth & Upon euthanasia | Ground Control & ~60 day & On Earth & Carcass | Space Flight & ~30 day & On Earth & Upon euthanasia | Space Flight & ~60 day & On ISS & Carcass,RNA Sequencing (RNA-Seq),Transcriptional analysis of lung from mice flown on the RR-6 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-248/download?source=datamanager&file=GLDS-248_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-251,Arabidopsis thaliana,Spaceflight Study,Seedlings,Spaceflight     Altered Gravity,21,6,15,Space Flight & 0.09G by centrifugation | Space Flight & 0.18G by centrifugation | Space Flight & 0.36G by centrifugation | Space Flight & 0.57G by centrifugation | Space Flight & 1G by centrifugation | Space Flight & uG,RNA Sequencing (RNA-Seq),RNAseq analysis of the response of Arabidopsis thaliana to fractional gravity under blue-light stimulation during spaceflight,https://osdr.nasa.gov/geode-py/ws/studies/OSD-251/download?source=datamanager&file=GLDS-251_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-253,Mus musculus,Spaceflight Study,Left kidney,Spaceflight     Strain     Duration     Treatment,112,0,68,,RNA Sequencing (RNA-Seq),Transcriptional analysis of kidneys from mice flown on the RR-7 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-253/download?source=datamanager&file=GLDS-253_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-254,Mus musculus,Spaceflight Study,dorsal skin,Spaceflight     Strain     Duration,80,12,91,C3H/HeJ & Basal Control & 0 day | C3H/HeJ & Ground Control & ~25 day | C3H/HeJ & Ground Control & ~75 day | C3H/HeJ & Space Flight & ~25 day | C3H/HeJ & Space Flight & ~75 day | C3H/HeJ & Vivarium Control & ~25 day | C3H/HeJ & Vivarium Control & ~75 day | C57BL/6J & Basal Control & 0 day | C57BL/6J & Ground Control & ~25 day | C57BL/6J & Ground Control & ~75 day | C57BL/6J & Space Flight & ~25 day | C57BL/6J & Space Flight & ~75 day,RNA Sequencing (RNA-Seq),Transcriptional analysis of dorsal skin from mice flown on the RR-7 mission,https://osdr.nasa.gov/geode-py/ws/studies/OSD-254/download?source=datamanager&file=GLDS-254_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-281,Arabidopsis thaliana,Spaceflight study,,Spaceflight     Age     Genotype,34,8,28,Sku5 & 4 day & Ground Control | Sku5 & 4 day & Space Flight | Sku5 & 8 day & Ground Control | Sku5 & 8 day & Space Flight | WS & 4 day & Ground Control | WS & 4 day & Space Flight | WS & 8 day & Ground Control | WS & 8 day & Space Flight,RNA Sequencing (RNA-Seq),"During development, the Sku5 mutant roots engage different genes than wild type WS roots, either on the ground or in spaceflight.",https://osdr.nasa.gov/geode-py/ws/studies/OSD-281/download?source=datamanager&file=GLDS-281_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-288,Mus musculus,Spaceflight Study,Spleen,Spaceflight     Altered Gravity,9,3,3,Ground Control & 1G on Earth | Space Flight & 1G by centrifugation | Space Flight & uG,RNA Sequencing (RNA-Seq),Transcriptome analysis of murine spleen in space,https://osdr.nasa.gov/geode-py/ws/studies/OSD-288/download?source=datamanager&file=GLDS-288_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-289,Mus musculus,Spaceflight study,thymus,Spaceflight     Altered Gravity     Space Mission,18,6,15,MHU-1 & Ground Control & 1G on Earth | MHU-1 & Space Flight & 1G by centrifugation | MHU-1 & Space Flight & uG | MHU-2 & Space Flight & 1G by centrifugation | MHU-2 & Space Flight & uG | MHU-2 & Vivarium Control & 1G on Earth,RNA Sequencing (RNA-Seq),Impact of spaceflight on gene expression in the thymus,https://osdr.nasa.gov/geode-py/ws/studies/OSD-289/download?source=datamanager&file=GLDS-289_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-314,Arabidopsis thaliana,Spaceflight Study,Seedlings,Spaceflight     Altered Gravity     Light,18,6,15,Ground Control & 1G on Earth & Dark Treatment | Ground Control & 1G on Earth & Red Light Treatment | Space Flight & 0.34G by centrifugation & Dark Treatment | Space Flight & 0.34G by centrifugation & Red Light Treatment | Space Flight & uG & Dark Treatment | Space Flight & uG & Red Light Treatment,RNA Sequencing (RNA-Seq),Adaptive response of Arabidopsis seedlings in microgravity and Mars reduced gravity environment is enhanced by red light photostimulation,https://osdr.nasa.gov/geode-py/ws/studies/OSD-314/download?source=datamanager&file=GLDS-314_rna_seq_differential_expression_GLbulkRNAseq.csv
2,OSD-321,Arabidopsis thaliana,Spaceflight Study,Seedlings,Spaceflight     Genotype,45,10,45,Ground Control & Wild Type | Ground Control & bzip28-2 | Ground Control & bzip28-2 bzip60-1 | Ground Control & bzip60-2 | Ground Control & ire1a-4 ire1b-2 | Space Flight & Wild Type | Space Flight & bzip28-2 | Space Flight & bzip28-2 bzip60-1 | Space Flight & bzip60-2 | Space Flight & ire1a-4 ire1b-2,RNA Sequencing (RNA-Seq),Relevance of Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,https://osdr.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna_seq_differential_expression_GLbulkRNAseq.csv
